Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,Caramel 303 (35000 EBC),0.0,0
2022,7,,Dextrose Bulk,0.0,0
2022,7,,Malt HFM (Batch Managed),0.0,0
2022,7,,Malt MFM (Batch Managed),0.0,0
2022,7,,Maltose Bulk,0.0,0
2022,7,AC,,0.0,0
2022,7,AC,Bottle: 660RB Green Lite,730.35,48
2022,7,AC,Bottle: 660RB Green Lite,368912.82,23358
2022,7,AC,Bottle: 750RB Amber Calabash,251.74,19
2022,7,AC,Bottle: 750RB Amber Calabash,173599.84,12223
2022,7,AC,Crate: Brown Quart,176906.98,12223
2022,7,AC,Crate: Brown Quart,357.44,26
2022,7,AC,Crate: Red Quart,338093.19,23358
2022,7,AC,Crate: Red Quart,267.56,20
2022,7,AC,,0.0,0
2022,7,AC,Bottle: 330RB Amber Uno,359.65,14
2022,7,AC,Bottle: 330RB Amber Uno,177998.99,6260
2022,7,AC,Crate: Brown Pint,90596.24,6260
2022,7,AC,Crate: Brown Pint,183.05,14
2022,7,AC,Videojet  Fluid Make Up 720D,0.0,0
2022,7,AC,,0.0,0
2022,7,AC,Bottle: 750RB Amber Calabash,2216.48,158
2022,7,AC,Bottle: 750RB Amber Calabash,1528488.67,107608
2022,7,AC,Crate: Brown Quart,1557606.95,107608
2022,7,AC,Crate: Brown Quart,3147.16,219
2022,7,AC,Keg: 30L Empty,0.0,0
2022,7,AC,Keg: 30L Empty,0.0,0
